;cadaster;hour;predicted_throttle;actual_throttle
0;79301:001:0749;3;16.535;14.497
0;79301:001:0749;4;6.976;5.781
0;79301:001:0749;5;11.145;10.445
0;79301:001:0749;6;12.902;13.076
0;79301:001:0749;7;16.979;17.593
0;79301:001:0749;8;8.859;11.153
0;79301:001:0749;9;13.561;13.887
0;79301:001:0749;10;11.418;9.308
0;79301:001:0749;11;9.32;12.929
0;79301:001:0749;12;5.954;7.762
0;79301:001:0749;13;6.935;11.16
0;79301:001:0749;14;14.162;17.17
0;79301:001:0749;15;17.063;15.526
0;79301:001:0749;16;11.676;14.142
0;79301:001:0749;17;3.337;4.316
0;79301:001:0749;18;15.782;17.57
0;79301:001:0749;19;8.78;15.207
0;79301:001:0749;20;10.159;14.411
0;79301:001:0749;21;13.338;15.873
0;79301:001:0749;22;16.809;17.405
0;79301:001:0749;23;8.819;7.3
0;79510:033:0012;0;16.371;19.803
0;79510:033:0012;1;0;0
0;79510:033:0012;2;1.382;0
0;79510:033:0012;3;4.256;1.548
0;79510:033:0012;4;0;0
0;79510:033:0012;5;0;0
0;79510:033:0012;6;17.393;24.414
0;79510:033:0012;7;9.06;6.583
0;79510:033:0012;8;22.532;20.949
0;79510:033:0012;9;12.166;8.125
0;79510:033:0012;10;9.273;7.961
0;79510:033:0012;11;7.11;3.402
